date,notifications,cases_directly_averted_perfect,cases_directly_averted_80_percent,cases_directly_averted_60_percent,cases_directly_averted_40_percent,cases_directly_averted_20_percent
2022-01-08,69118,854.8321597455455,683.8657277964364,512.8992958473273,341.9328638982182,170.9664319491091
2022-01-09,63738,763.4467723804892,610.7574179043913,458.0680634282935,305.37870895219567,152.68935447609783
2022-01-10,56526,675.871648633341,540.6973189066729,405.5229891800046,270.34865945333644,135.17432972666822
2022-01-11,60524,738.6838131641509,590.9470505313208,443.21028789849055,295.4735252656604,147.7367626328302
2022-01-12,71316,902.7380197162161,722.1904157729729,541.6428118297296,361.09520788648643,180.54760394324322
2022-01-13,59064,783.350642423511,626.6805139388089,470.01038545410654,313.34025696940444,156.67012848470222
2022-01-14,48626,678.1261784317733,542.5009427454187,406.8757070590639,271.25047137270934,135.62523568635467
2022-01-15,41139,600.7611145929652,480.6088916743722,360.4566687557791,240.3044458371861,120.15222291859305
2022-01-16,44454,672.5991307053033,538.0793045642426,403.559478423182,269.0396522821213,134.51982614106066
2022-01-17,51719,802.4963270749963,641.9970616599971,481.49779624499774,320.9985308299986,160.4992654149993
2022-01-18,53007,836.2457001757441,668.9965601405953,501.74742010544645,334.49828007029765,167.24914003514883
2022-01-19,54527,867.8574016200706,694.2859212960566,520.7144409720423,347.1429606480283,173.57148032401415
2022-01-20,47490,757.0816212147323,605.6652969717859,454.24897272883936,302.83264848589295,151.41632424294647
2022-01-21,43669,692.5351918925031,554.0281535140025,415.5211151355019,277.01407675700125,138.50703837850062
2022-01-22,41788,654.9194509442655,523.9355607554124,392.95167056655924,261.9677803777062,130.9838901888531
2022-01-23,48121,740.9498570428962,592.7598856343169,444.5699142257377,296.37994281715845,148.18997140857923
2022-01-24,54821,825.262474761993,660.2099798095944,495.15748485719575,330.1049899047972,165.0524949523986
2022-01-25,57443,841.5316677212351,673.2253341769881,504.919000632741,336.61266708849405,168.30633354424702
2022-01-26,57377,814.0221253266468,651.2177002613175,488.41327519598804,325.60885013065877,162.80442506532938
2022-01-27,56921,777.802871024938,622.2422968199504,466.6817226149628,311.1211484099752,155.5605742049876
2022-01-28,49649,649.455785124129,519.5646280993031,389.6734710744774,259.7823140496516,129.8911570248258
2022-01-29,45873,570.7572215696566,456.60577725572534,342.45433294179395,228.30288862786267,114.15144431393134
2022-01-30,52569,618.6944360051632,494.95554880413056,371.2166616030979,247.47777440206528,123.73888720103264
2022-01-31,59433,660.4560194354606,528.3648155483685,396.27361166127633,264.18240777418424,132.09120388709212
2022-02-01,63926,672.1607510667777,537.7286008534222,403.2964506400666,268.8643004267111,134.43215021335556
2022-02-02,65177,651.9959030204468,521.5967224163575,391.19754181226807,260.79836120817873,130.39918060408937
2022-02-03,59428,570.1509454224719,456.1207563379775,342.09056725348313,228.06037816898876,114.03018908449438
2022-02-04,52813,490.7740580648383,392.61924645187065,294.46443483890295,196.30962322593533,98.15481161296766
2022-02-05,44477,405.29444705552044,324.23555764441636,243.17666823331226,162.11777882220818,81.05888941110409
2022-02-06,46882,425.3399903786654,340.27199230293235,255.20399422719922,170.13599615146617,85.06799807573309
2022-02-07,55872,511.72724393113964,409.38179514491173,307.0363463586838,204.69089757245587,102.34544878622793
2022-02-08,56719,529.2738087502017,423.4190470001614,317.56428525012103,211.7095235000807,105.85476175004035
2022-02-09,55257,526.9643782936897,421.5715026349518,316.1786269762138,210.7857513174759,105.39287565873795
2022-02-10,48083,467.12324282910873,373.698594263287,280.27394569746525,186.8492971316435,93.42464856582176
2022-02-11,43694,428.3536422753029,342.68291382024233,257.0121853651817,171.34145691012117,85.67072845506058
2022-02-12,38218,372.29704171819003,297.837633374552,223.37822503091402,148.918816687276,74.459408343638
2022-02-13,41093,391.2152336819479,312.97218694555835,234.72914020916872,156.48609347277917,78.24304673638959
2022-02-14,42122,389.40034232564807,311.5202738605185,233.64020539538882,155.76013693025925,77.88006846512963
2022-02-15,46936,424.2524445813857,339.4019556651086,254.55146674883142,169.7009778325543,84.85048891627714
2022-02-16,46563,419.21057687974354,335.36846150379483,251.52634612784613,167.68423075189742,83.84211537594871
2022-02-17,42063,387.4092550725664,309.9274040580531,232.44555304353983,154.96370202902656,77.48185101451328
2022-02-18,35561,345.8751399446658,276.70011195573267,207.52508396679949,138.35005597786633,69.17502798893317
2022-02-19,27525,292.81929019373814,234.25543215499053,175.6915741162429,117.12771607749526,58.56385803874763
2022-02-20,30520,367.341265702908,293.87301256232644,220.40475942174479,146.93650628116322,73.46825314058161
2022-02-21,33652,468.8461855823094,375.0769484658475,281.3077113493856,187.53847423292376,93.76923711646188
2022-02-22,31107,507.1373759453733,405.7099007562987,304.282425567224,202.85495037814934,101.42747518907467
2022-02-23,30042,573.6330032532362,458.90640260258897,344.1798019519417,229.45320130129448,114.72660065064724
2022-02-24,29574,656.696151523989,525.3569212191912,394.01769091439337,262.6784606095956,131.3392303047978
2022-02-25,27014,687.9201481090776,550.3361184872621,412.7520888654465,275.16805924363103,137.58402962181552
2022-02-26,28126,804.7319400343679,643.7855520274943,482.83916402062073,321.89277601374715,160.94638800687358
2022-02-27,28989,908.2874028252544,726.6299222602036,544.9724416951526,363.3149611301018,181.6574805650509
2022-02-28,37041,1240.781649386975,992.6253195095801,744.468989632185,496.31265975479005,248.15632987739502
2022-03-01,43222,1517.8109317104884,1214.2487453683907,910.686559026293,607.1243726841954,303.5621863420977
2022-03-02,42139,1530.3314679516543,1224.2651743613235,918.1988807709926,612.1325871806617,306.0662935903309
2022-03-03,41364,1538.5446206902434,1230.8356965521948,923.126772414146,615.4178482760974,307.7089241380487
2022-03-04,37788,1430.2241887576902,1144.1793510061523,858.134513254614,572.0896755030761,286.04483775153807
2022-03-05,39797,1525.3393898846255,1220.2715119077004,915.2036339307753,610.1357559538502,305.0678779769251
2022-03-06,42622,1645.0603805616802,1316.0483044493442,987.0362283370081,658.0241522246721,329.01207611233605
2022-03-07,53666,2073.2472300712275,1658.5977840569822,1243.9483380427364,829.2988920284911,414.64944601424554
2022-03-08,61116,2351.702297296428,1881.3618378371423,1411.0213783778565,940.6809189185711,470.34045945928557
2022-03-09,64325,2457.3273271184803,1965.8618616947842,1474.3963962710882,982.9309308473921,491.46546542369606
2022-03-10,66436,2514.0381588731193,2011.2305270984955,1508.4228953238714,1005.6152635492477,502.80763177462387
2022-03-11,66910,2502.643959017438,2002.1151672139506,1501.5863754104628,1001.0575836069753,500.52879180348765
2022-03-12,66436,2448.3911690344285,1958.7129352275429,1469.034701420657,979.3564676137714,489.6782338068857
2022-03-13,71596,2589.8388142918375,2071.8710514334703,1553.9032885751024,1035.9355257167351,517.9677628583676
2022-03-14,83521,2951.891034199137,2361.5128273593095,1771.134620519482,1180.7564136796548,590.3782068398274
2022-03-15,90252,3102.2924163707476,2481.8339330965982,1861.3754498224484,1240.9169665482991,620.4584832741496
2022-03-16,87516,2914.304319421734,2331.4434555373873,1748.5825916530403,1165.7217277686937,582.8608638843468
2022-03-17,84788,2726.725871768425,2181.38069741474,1636.0355230610548,1090.69034870737,545.345174353685
2022-03-18,78646,2436.972446889796,1949.577957511837,1462.1834681338776,974.7889787559185,487.39448937795925
2022-03-19,77693,2316.341588736142,1853.0732709889137,1389.804953241685,926.5366354944568,463.2683177472284
2022-03-20,83653,2395.9726432857306,1916.7781146285845,1437.5835859714382,958.3890573142922,479.1945286571461
2022-03-21,92400,2537.216542706923,2029.7732341655385,1522.3299256241537,1014.8866170827692,507.4433085413846
2022-03-22,96998,2546.3080422382955,2037.0464337906365,1527.7848253429772,1018.5232168953182,509.2616084476591
2022-03-23,93887,2347.894143501929,1878.3153148015435,1408.7364861011574,939.1576574007718,469.5788287003859
2022-03-24,84780,2011.0594891055327,1608.8475912844262,1206.6356934633195,804.4237956422131,402.21189782110656
2022-03-25,76478,1711.524267983246,1369.219414386597,1026.9145607899477,684.6097071932985,342.30485359664925
2022-03-26,72091,1514.95704364229,1211.965634913832,908.974226185374,605.982817456916,302.991408728458
2022-03-27,73025,1443.1478149350091,1154.5182519480074,865.8886889610054,577.2591259740037,288.62956298700186
2022-03-28,82290,1542.6288709392834,1234.1030967514268,925.57732256357,617.0515483757134,308.5257741878567
2022-03-29,79084,1423.0311556101835,1138.4249244881469,853.8186933661101,569.2124622440734,284.6062311220367
2022-03-30,76869,1341.6676240038644,1073.3340992030915,805.0005744023186,536.6670496015457,268.33352480077286
2022-03-31,66776,1138.4332166162128,910.7465732929703,683.0599299697277,455.37328664648516,227.68664332324258
2022-04-01,62427,1043.591818642044,834.8734549136352,626.1550911852264,417.4367274568176,208.7183637284088
2022-04-02,52474,862.7760054436013,690.2208043548811,517.6656032661608,345.11040217744056,172.55520108872028
2022-04-03,53446,867.50977283295515,694.0078182663642,520.505863699773,347.0039091331821,173.50195456659105
2022-04-04,58523,943.569832877764,754.8558663022113,566.1418997266584,377.42793315110566,188.71396657555283
2022-04-05,53421,862.1349509759882,689.7079607807906,517.2809705855929,344.8539803903953,172.42699019519765
2022-04-06,50698,825.200479732956,660.1603837863648,495.12028783977354,330.0801918931824,165.0400959465912
2022-04-07,42837,708.1018912888915,566.4815130311132,424.86113477333487,283.2407565155566,141.6203782577783
2022-04-08,38915,657.0644797889546,525.6515838311637,394.2386878733727,262.8257919155819,131.41289595779094
2022-04-09,33805,585.5789175624162,468.463134049933,351.3473505374497,234.2315670249665,117.11578351248325
2022-04-10,34005,605.5548043274728,484.44384346197825,363.33288259648367,242.22192173098912,121.11096086549456
2022-04-11,36626,669.8901060272198,535.9120848217758,401.93406361633185,267.9560424108879,133.97802120544395
2022-04-12,36127,674.6464728318266,539.7171782654613,404.78788369909597,269.85858913273063,134.92929456636531
2022-04-13,32159,605.9615013663152,484.76920109305223,363.57690081978916,242.38460054652612,121.19230027326306
2022-04-14,28867,538.6440039871429,430.91520318971436,323.18640239228574,215.45760159485718,107.72880079742859
2022-04-15,25884,465.96933154171376,372.77546523337105,279.58159892502823,186.38773261668553,93.19386630834276
2022-04-16,23367,394.31484359149584,315.4518748731967,236.5889061548975,157.72593743659834,78.86296871829917
2022-04-17,21618,335.3116732267897,268.2493385814318,201.1870039360738,134.1246692907159,67.06233464535795
2022-04-18,22675,321.48293795385905,257.18635036308723,192.88976277231544,128.59317518154361,64.29658759077181
2022-04-19,22552,294.68171445125995,235.74537156100797,176.80902867075596,117.87268578050399,58.93634289025199
2022-04-20,20710,253.87989392173114,203.10391513738492,152.32793635303867,101.55195756869246,50.77597878434623
2022-04-21,17914,211.11854407432284,168.8948352594583,126.6711264445937,84.447417629729145,42.22370881486457
2022-04-22,15624,182.5470019407732,146.03760155261858,109.52820116446392,73.01880077630929,36.509400388154646
2022-04-23,13999,167.83605925206763,134.2688474016541,100.70163555124057,67.13442370082706,33.56721185041353
2022-04-24,15334,193.89297625083168,155.11438100066536,116.335785750499,77.55719050033268,38.77859525016634
2022-04-25,16314,220.96312813646807,176.77050250917446,132.57787688188083,88.38525125458723,44.192625627293616
2022-04-26,14160,205.97737205723234,164.78189764578588,123.5864232343394,82.39094882289294,41.19547441144647
2022-04-27,12958,200.98596362815488,160.7887709025239,120.59157817689292,80.39438545126195,40.19719272563098
2022-04-28,11349,185.01815404099725,148.0145232327978,111.01089242459834,74.0072616163989,37.00363080819945
2022-04-29,10579,177.49409902252506,141.99527921802004,106.49645941351504,70.99763960901002,35.49881980450501
2022-04-30,9864,166.12280172678874,132.898241381431,99.67368103607323,66.4491206907155,33.22456034535775
2022-05-01,9943,164.77067797350202,131.81654237880161,98.86240678410121,65.908271189400807,32.954135594700404
2022-05-02,10950,176.59685252801464,141.2774820224117,105.95811151680878,70.63874101120585,35.319370505602926
2022-05-03,11149,174.51552955739322,139.6124236459146,104.70931773443593,69.8062118229573,34.90310591147865
2022-05-04,12040,183.29131573466674,146.6330525877334,109.97478944080004,73.3165262938667,36.65826314693335
2022-05-05,10216,151.8850197641714,121.50801581133713,91.13101185850284,60.754007905668566,30.377003952834283
2022-05-06,9179,133.92140702876299,107.13712562301039,80.35284421725778,53.568562811505195,26.784281405752598
2022-05-07,9033,129.87664825858008,103.90131860686407,77.92598895514804,51.95065930343203,25.975329651716017
2022-05-08,8296,117.87647437660243,94.30117950128195,70.72588462596146,47.150589750640975,23.575294875320488
2022-05-09,9758,137.3371796655841,109.86974373246728,82.40230779935045,54.93487186623364,27.46743593311682
